GeneName,value
HLA-C,4.74382257852838
APP,4.71131865496387
APOE,4.67926646405703
HLA-B,4.67903681509972
MYO5A,4.66904645385685
PLEC,4.66362254648586
HLA-DRB1,4.61387669265997
MADD,4.60920663578957
ABCA8,4.57444502066082
PEPD,4.57387320215805
DOCK8,4.57276148922318
NDUFS2,4.56122315570884
PRKG1,4.55847136379541
DCC,4.55301769283177
TRAP1,4.54306595877048
NOS1,4.54097855096778
WWOX,4.51063484514582
ALDH5A1,4.50566561146505
LSS,4.50098391525893
SQSTM1,4.49887509748342
GFM2,4.49166028146981
MPZ,4.48831606489622
GRIN2B,4.48540518044959
ITPA,4.48364494521206
NDUFA10,4.48021661196711
LEMD2,4.47555248900132
CYB561,4.45676603152321
CDH13,4.45313155728396
SDHC,4.44310414355151
MAPT,4.44271042048525
TSC2,4.432214275295
CPVL,4.42824432409014
HLA-DRA,4.41214031869406
P2RX7,4.40187493112982
PYGL,4.39848032998685
SUMF1,4.39823218503171
TREM2,4.39328865350947
CAST,4.39126581022079
LHPP,4.3860238928274
EGFR,4.37258215348529
LAMA5,4.37159459841962
MATN2,4.3704662038057
SPG7,4.36937638240342
VLDLR,4.36914257211095
LPIN1,4.36724335678461
PIK3CD,4.3671483483195
GLRX5,4.36467155280179
CRPPA,4.36091900033494
PLCG2,4.35996404378537
AGL,4.35809008550827
LRPPRC,4.34675090610235
NUP62,4.34493323172875
PRKN,4.33926810955487
TRAPPC4,4.33918475590817
SYNJ1,4.33733831977111
HLA-A,4.33102575848645
AGRN,4.32961012828806
DST,4.32925932993859
SLC19A3,4.32756687136179
HSD17B12,4.32694465470691
SLC25A12,4.31663825095926
DDB2,4.30885841828586
CTSD,4.30834860891591
GPAA1,4.30755486542197
DYNC2I1,4.30571564826414
VARS2,4.30381901365853
DDHD1,4.30376411245168
OPA1,4.3030732486874
KANSL1,4.30237004598861
GRIN2A,4.30038617078478
NDUFA9,4.29872721402455
ASAH1,4.29694415599493
PDHX,4.29644093785767
RARS1,4.29626922028052
RAB27A,4.29547250304243
BBS9,4.29448234331696
LARS1,4.29214886538375
SNX32,4.29032797383523
ENO3,4.29007385781577
"NAXD",4.28919439036371
NDUFS4,4.2880255217495
B3GLCT,4.28603172575922
OPA3,4.2847888730843
GCDH,4.28184575913203
ITPR1,4.27788903665746
SHMT1,4.27422992716221
LYRM4,4.26606721010364
SCRN2,4.26451882140845
ASS1,4.26201989130636
MSH2,4.26158802042477
CD2AP,4.26050536462379
PCM1,4.25993444511025
GABBR1,4.25828094205404
ITGAV,4.25772578055297
SGIP1,4.25739522899533
LTBP1,4.2508259765537
COL6A1,4.24888818043309
CEP83,4.24853312097913
PVR,4.24682473065428
CSMD1,4.2460098520074
REEP1,4.24530517012028
LLGL1,4.24495442231337
DNM1,4.24147261343969
C1R,4.23829540097526
TAPBPL,4.23717066605534
PRKRA,4.23714352546838
PHYHD1,4.23695694287841
MBOAT7,4.23288360570277
TNXB,4.23225562669124
CAPG,4.23084861433824
FLNB,4.2280978450632
PCCB,4.22801993378254
TIMM44,4.22748288187495
MRE11,4.22492813431229
CNTNAP2,4.22441632979426
MECR,4.22228794920034
LYRM9,4.22161859598644
NUP88,4.22007029150881
MTPAP,4.21814958722294
IFT140,4.21616385086942
AP3B2,4.2146156366118
VAPB,4.21393744496111
ALDH16A1,4.21230549457856
NINJ1,4.21189486474051
REV3L,4.21146888279844
TCTN2,4.20922910032239
GNB5,4.20770367937432
NDUFA6,4.20347556987278
CHURC1,4.20181118378963
ITGB4,4.20108517261111
LMO7,4.20081850740632
HLA-DPB1,4.20063869023319
MRPS27,4.19773415160177
DLD,4.19671634896825
PNPO,4.19509930166062
PPP6R2,4.19506693042003
NDUFAF1,4.19253984236234
ARHGEF10,4.18608203188736
COX6B1,4.18537031976713
IFT27,4.18502954955524
BTN3A2,4.18095348701968
HLA-DQB1,4.18062706784102
SIL1,4.17811981074378
ATIC,4.17351904184474
MSH6,4.17322122141165
SLC33A1,4.17287390634787
DDAH2,4.16962168655334
MRPL10,4.16945044104903
HIBCH,4.168562016671
CADPS2,4.1680394188635
NDUFA11,4.16780598885127
SERPINF2,4.16722090594805
SIRPA,4.16487637246296
SH3PXD2B,4.16482054255378
CNDP2,4.16449257365923
BBS7,4.16229281282211
COX11,4.16171559898098
LMNA,4.16137469629309
MCAT,4.16050076998775
ITIH2,4.15999085459744
HRAS,4.15950274150757
METTL16,4.15858068531004
CROCC,4.15676440076474
ICA1L,4.15629243090451
ADA2,4.155280035357
DISC1,4.15430303133775
ICA1,4.15268942127201
SCIN,4.15220591937801
LSP1,4.15110439625923
CD40,4.14966408947685
FDFT1,4.14944804728708
ARHGEF40,4.14910171959475
RADIL,4.14734023181194
SPATA13,4.14655861671359
FGD4,4.14395311359105
STX2,4.14381739672828
UBE3A,4.14355756847674
ANXA5,4.14187241629076
SMOC1,4.14052662724628
TAMM41,4.14030690365528
PDLIM4,4.13977219755883
NDUFS1,4.13898935814758
ANKMY2,4.13846565251249
PPOX,4.13577490155745
TBRG4,4.13388355561353
DNAJC6,4.13251194942378
GABRA2,4.13228052980954
ABCA1,4.13105690769139
IRAG1,4.12917943543485
GSTP1,4.12802839168537
PSMB9,4.12714693760479
SLC20A2,4.12703530075735
LILRB1,4.12649744161827
LPCAT2,4.12637112893171
KAT8,4.12593044800175
TSFM,4.12552350728171
IQCB1,4.12444433230754
C4B,4.12373093844852
MFN2,4.12325439503902
LRRC75A,4.12287168336108
ABCC8,4.12251728345944
MTCH2,4.12219950327301
ATXN1,4.1220559443089
CAMK4,4.12181767869902
ANK3,4.12180588231843
FHAD1,4.12168670028044
NECAB2,4.12120210874525
NT5C3B,4.12052826717965
KRI1,4.11945913934537
RHPN2,4.11913529460442
SLC8A3,4.11792661592086
CADM2,4.11760967698621
VCAN,4.1175005369303
INSR,4.11628357101598
DLGAP2,4.11607264493681
PDYN,4.11551534656512
MTAP,4.11464049303837
MICU1,4.11309357007049
COMT,4.11285051224807
IGLON5,4.11260404222291
GUF1,4.11202330875539
PHACTR4,4.11043136128524
KIF16B,4.10942307484018
RAC1,4.109269439566
PRKD2,4.10841594218556
KCNN3,4.10826107669736
ABCG1,4.10756991312078
AP3D1,4.10703498396875
IQGAP1,4.10648280457921
DGKQ,4.10600225853966
PTPRS,4.10597917337256
FECH,4.10593609336819
CWF19L1,4.105514166721
ALPL,4.10411444628632
C4A,4.10409547352181
ARL3,4.10173136890872
GALM,4.10117042164571
KRAS,4.09837069468936
SEMA4D,4.09727276372323
PILRA,4.09519764177348
IGF1R,4.09408580042867
EIF4E,4.09352417884536
HYI,4.09296415928648
FIBP,4.09283218802399
CLCN7,4.0919959225167
MRPL28,4.09134845837186
FOXRED1,4.09115276119222
FGF14,4.09083030863894
GABBR2,4.08997407262137
TACC2,4.08995716335947
LGI4,4.08906109807162
PSMG1,4.08886322958535
TESC,4.08849658418248
ERO1B,4.08802719463257
DPP6,4.0869086188318
NOTCH4,4.08554955850596
TNS3,4.08255279339698
CRK,4.08236804403949
PITPNM3,4.08202001320441
CBS,4.08172203654489
PMS2,4.08074078679434
RHBDF1,4.07982637936164
CRLF1,4.0797141178276
HNMT,4.07727480144797
CAT,4.07724825169461
C9orf72,4.07596620118146
PCYOX1L,4.07457246548032
ALAD,4.07081399326263
NUP54,4.06951205309334
PLIN3,4.06885128680607
RUVBL2,4.0669887811286
HPR,4.06590797469426
WDR45B,4.06536141913881
NDUFAF6,4.0639185249521
FARP2,4.06300753925502
ITPR2,4.06226725109566
PLOD2,4.06104303300707
KYAT3,4.06085847324205
SNTB1,4.05896704457008
TRIM4,4.0574803889129
ANKRD18B,4.05637660614998
PSMB5,4.05625883714642
PGM2,4.05374792696778
PCYT1A,4.05339517382579
LRP4,4.05326720749422
GSTZ1,4.05312998564183
CYBRD1,4.05142489603425
PDE1A,4.05134559786658
PRKCA,4.04892348244828
FN3KRP,4.04810902199867
ABHD12,4.04628327244132
PSMB8,4.04547811206936
IDH3B,4.04385719553018
VCPKMT,4.0395594691448
LRIG1,4.03911170481042
SPG21,4.03904295994093
ASAP1,4.03890369721934
C11orf54,4.03868951898986
L2HGDH,4.03700114196161
RNF213,4.03629502755946
NEGR1,4.03429149908613
PICALM,4.03407310742974
AZGP1,4.03368611107182
TMPRSS5,4.03366578508297
VAV2,4.03365814973819
CDH23,4.03203366381638
QPRT,4.03101259158052
BLVRA,4.02912507735282
HK1,4.02649797184095
AP2A2,4.02555494908729
TRIP6,4.02531350851142
GFM1,4.02310662328317
CAMTA1,4.02307789271698
SLC22A18,4.02244642328336
VAC14,4.02193158288081
CARHSP1,4.02077862371146
WLS,4.02076326824247
PCSK2,4.02047376332207
PGPEP1,4.01875440266063
EP300,4.01855789690578
NDUFA12,4.01824986403726
CD59,4.01753968433076
GRHPR,4.01731898878974
SLC7A2,4.01487433704616
RBM19,4.0148299975584
ARAP1,4.01452089915279
CA8,4.0142494286444
OTULIN,4.01262688643407
UQCRFS1,4.01135231039722
MYO6,4.0106333596826
PPFIA2,4.01013407406687
COX6A1,4.00879242660416
ALDH7A1,4.0083080292633
COA7,4.00827523852348
ETFA,4.00827013081662
PEX6,4.00680802779031
C1S,4.00653435286691
SYNM,4.0045270094285
IDNK,4.00398825805009
DNAJC21,4.00328860324999
SLC12A9,4.00177211124147
SPATA20,4.00103142559107
FRMD4A,3.99938034870134
GALT,3.99883063634219
FBLN1,3.99821076884718
ERC2,3.99764978737787
VPS53,3.99704915765164
RPS26,3.9957976339512
BIN1,3.99526969215814
IFI16,3.9944424421505
EPS8L2,3.99438461249699
COA6,3.99432120314989
BMPR1A,3.99430956584477
APC2,3.99297431522523
EIF2B5,3.99270619673903
SYNGAP1,3.99266729205382
NIT2,3.9923231192988
C12orf73,3.99191735967913
PIK3C3,3.99182651384542
TOMM40,3.99166925264637
FAM167A,3.99066285424685
FMN2,3.98984572882375
RCCD1,3.98983329738562
SLC25A4,3.98948434973311
SUCLA2,3.98942703341032
NT5DC3,3.98940181418107
RAB3GAP1,3.98900616202785
COG1,3.98817716375738
GABRB3,3.98815826882228
HSD17B4,3.98717389123996
SMPD3,3.98710941819752
PNPLA2,3.98705378508988
NF1,3.98656819882461
KCNMA1,3.98520447037813
EARS2,3.98364573683345
ERCC4,3.98348449534036
FASTKD2,3.98260333236101
POMGNT2,3.98234726408579
HLA-DQA1,3.98037141133051
ALDH3A2,3.98014384125721
OTUD7A,3.97897506075832
RSPO2,3.97889846435327
FOCAD,3.97866280473304
FAM221A,3.97833237125936
ARFGAP3,3.97743064405059
SYNE1,3.97714707348045
MORC2,3.97707262514871
L3HYPDH,3.97614435779536
GTPBP10,3.97564383066254
GNA12,3.97547223442466
DLAT,3.97545147372528
SNX19,3.97515910467044
MAP1B,3.97496601829372
DTNBP1,3.97472565589815
RBFOX1,3.97409508536112
GABRB2,3.97205564818211
EZR,3.97166647748481
TMC6,3.97145620614474
PISD,3.97092718470014
MTHFD1,3.96984725703934
CMC2,3.96961300653804
CALCOCO2,3.96937736343085
FANCA,3.96910285612687
AFG1L,3.96864635944688
DTNA,3.96717950519793
SLC13A3,3.96680054953773
TRIM25,3.96664467334336
POLE,3.96491869826059
EHMT2,3.96416502627324
STARD10,3.9627306170614
RDH10,3.96179599328699
RAB29,3.96174119771536
BBS2,3.96115046475393
IMPA1,3.96061452591579
CANX,3.95990378635539
CHPT1,3.95989537161561
USP8,3.95910151136237
VPS13D,3.95659000631041
ARFGEF2,3.95642530978214
ABLIM1,3.95588378923019
ARVCF,3.95581664801658
NCOR2,3.95540011084359
AUH,3.9548574725761
GLCCI1,3.95416316840474
GCC2,3.95413415289163
ACTN2,3.95351220068294
MTHFR,3.9532304612318
NDUFS7,3.95260759244067
RNH1,3.95234463433611
STAU2,3.95220308498224
STARD7,3.95215692867117
SBF2,3.95162914516769
EPB41L3,3.95050441052917
PPIL2,3.94992035704571
KIAA0930,3.9494075497293
CYBA,3.94819084273467
PLEKHA6,3.94814355729225
MRPL37,3.94810781771646
GLOD4,3.9480375063891
CYFIP2,3.94739851016856
NDUFAF5,3.94734605923513
MT1E,3.9473456763529
PRRT2,3.94717505154386
CDIP1,3.94653181296003
TANC2,3.94644935818739
EIF2A,3.94603775359594
NUP160,3.94599368060746
KIAA0513,3.94551223626657
GPX1,3.94531988123951
SUCLG2,3.94530593863428
MFF,3.9451141407155
TMEM70,3.9448760969483
PPFIBP2,3.94471381081914
EFEMP2,3.94422678671659
MRTO4,3.94357644967406
NDUFB9,3.94342948202848
MRPL19,3.94329590549802
MYO16,3.94319235697931
EEF2K,3.94200236110487
PGGT1B,3.94177178729743
NEDD4,3.94162627178483
LACTB2,3.94095266888935
SP3,3.93954155558608
PITPNA,3.93953263775189
MARK3,3.93904611202102
ASTN1,3.9381611197192
NXN,3.93814243321878
TBC1D9B,3.93784068062992
LPP,3.93758340897709
FAT1,3.93740366950031
GSDMD,3.93693917946186
CYRIA,3.93693585757866
PCP4L1,3.93647089480768
CHL1,3.93629576885068
GPNMB,3.93623867231986
CAPS,3.93617730299296
AGPAT1,3.9357578786712
SLC25A32,3.93505796602713
TNS2,3.93499007251918
APRT,3.93490575259452
EFL1,3.93342200424991
ALDH1L2,3.93296259311105
SNCA,3.93242958102889
MYH14,3.93238964523509
FAM107B,3.93217700276097
SGTB,3.93201515547198
FCGR2A,3.93114188328937
SIDT1,3.93111935581072
EPB41L2,3.93043838962545
TMEM135,3.93014046166685
SAT2,3.92978967689164
ITGA7,3.92956777152412
GPC5,3.92924957730385
SLIT2,3.92921670986318
PDE4D,3.92898099287523
TLN2,3.92860187799541
MRPL54,3.92802633761869
PYGB,3.92751129669328
ANKRD18A,3.92728298850332
TBCA,3.92591994383973
TMEM231,3.92548125479878
IL17RA,3.92490151090876
CP,3.92484234502151
PGM2L1,3.92417617364474
CERS1,3.92381671166958
LGMN,3.92328512682685
AARS2,3.92319153647907
SDHA,3.92318383284202
ADAM10,3.92297261528402
WBP2,3.92239545457554
GABRA1,3.92176334115839
"NAPG",3.92172978296562
LAMA2,3.92056661794088
RTF2,3.91964126283227
FAM184A,3.91960703208343
RPS6KA2,3.91890561968858
ANO5,3.91873454365381
TMEM163,3.91725725971268
LINGO1,3.91719464983698
DOCK4,3.91628444717966
GNAL,3.91517564613031
DNAH2,3.91514430292178
NUB1,3.91491550917719
KCNB1,3.91381477921909
VPS41,3.91374573518945
CDH18,3.91370980592208
TPP1,3.91326717691232
CPLX1,3.9131914967951
BLOC1S3,3.91287476051322
DOCK1,3.91270951444483
RPTOR,3.91232723990515
TRIM47,3.91212816630579
NPC2,3.91162847066324
PACSIN1,3.91105809804357
CACNG2,3.91057410100593
MAP2,3.90989689292868
DGKB,3.90978539678149
WDR11,3.90821971798855
MPDZ,3.90818715264339
DNMBP,3.9074961208594
GNAQ,3.9070328331127
CPM,3.9065498561023
EPHX1,3.90647356549151
EMILIN2,3.90644701929582
SWAP70,3.90542427414046
GDPD1,3.90535391588848
CTSS,3.90400482442208
LTF,3.90365754233275
PBLD,3.9018188482625
CLIC1,3.9015536008649
TENM2,3.90140976295144
GPAM,3.90118018118592
TRIM22,3.90093434846478
TRIM2,3.9008738933788
ATE1,3.90067310103742
SVIL,3.89947762914314
ECE1,3.89921588872046
TIMM10,3.89915595657643
ITSN2,3.89852932953371
CHRM3,3.89849789310625
CFH,3.89813993701398
WDR12,3.89782626749699
OAT,3.89779864654911
BAIAP2,3.89726348771303
SHISA4,3.89636999697121
SNX14,3.89560712563267
TRPM3,3.89547164760011
PSMC3,3.89232301500044
ROGDI,3.89073426535232
KIF1B,3.89051349196446
SRR,3.89019485912422
QSOX1,3.88915816771337
TRIM26,3.88828040229047
ATP6V1H,3.88807723314102
ADAMTS2,3.88779090122365
NCAM1,3.88700854869184
MCM6,3.88672536919896
PLSCR4,3.88622154647288
LONP1,3.88608287297465
PLPP6,3.88521812681102
NFATC1,3.88498157943601
PEX16,3.88481380282369
MPI,3.88450440468538
KIF13A,3.8842105189102
TMEM63B,3.8839870320188
ACP6,3.88386733847256
COQ8A,3.88314356043702
SORD,3.88255380754441
MRPS10,3.88219244005551
HLA-DMA,3.88176493205195
MAPK3,3.88171213740462
CLN8,3.87984828490569
C1QBP,3.87941006359511
SLCO3A1,3.87815623274695
BTN3A1,3.87806221432917
NFASC,3.87803613358379
PDLIM5,3.87608139159911
DLG4,3.8759298866312
LRIG2,3.87571164828485
PPP1R18,3.87558641415017
WAC,3.87548891060272
GOLGA4,3.87459912658447
DXO,3.87432303272381
TCP11L1,3.87296951468622
CHADL,3.87263900805163
SCARB2,3.8724467030689
KIF1C,3.87224091884664
MYH10,3.87194346265112
CC2D1B,3.8712340854811
HSPA1B,3.87121777745596
ATCAY,3.87087480407908
EXOC4,3.87055835142893
CREG2,3.87050432703373
ATP6V1G2,3.87048599679417
RAC2,3.87015558933965
PAXX,3.86976434140956
GPR155,3.86976350551657
SV2B,3.86974614618552
SH3RF1,3.86943595670585
FAHD1,3.86769580010348
DAP,3.86718784039961
ESD,3.86705779188617
IKBIP,3.86649382948683
CYB5A,3.86550868244886
FLNC,3.86543212352638
SLC39A12,3.86494217538864
NDUFAF4,3.86474758371596
KAT6A,3.8631367552544
"NAGK",3.86306558446467
DMXL1,3.86224316246537
RRM1,3.86184162426966
KIAA1549,3.86175747858253
NDUFS5,3.86038129820603
ADAM17,3.85944593996853
LNPK,3.85932366767029
NRF1,3.85907937129636
CSNK2A1,3.85906341263305
WDR6,3.85850623692105
ATP6V1E1,3.85826968570983
PPP1R14C,3.8577902398312802
MAP3K20,3.8577803425649
RIC8A,3.85736478305261
CRADD,3.8562811127806
DBT,3.85612182257407
ADGRB3,3.85594317697703
MTUS1,3.85525782338799
SLC4A8,3.85521506373545
AGTRAP,3.85512416576608
PSMD9,3.85510973228519
FIG4,3.85446557702716
TMEM126B,3.85320527659843
IQCG,3.85210303179321
ARF4,3.85206840868989
NTM,3.85181599785581
CYSTM1,3.85144755553908
SELENOI,3.8511882775291
BBOX1,3.85091892982031
ZNF704,3.85056439139676
CR1,3.84995539030839
VWA7,3.84956573946713
SGPL1,3.84852445923247
SKAP2,3.8481087949529
CAMKK2,3.84794200971003
XYLT1,3.84722629819735
PLXNB2,3.84680372801785
DMTN,3.84678617480868
HLA-DMB,3.84569307224079
COQ3,3.84555174358053
